Total Accesses:,2106936
Frames,Missees,Miss Rate
1,2106895,0.999981
2,2106872,0.999970
3,2106858,0.999963
4,2106845,0.999957
5,2106824,0.999947
6,2106807,0.999939
7,2106791,0.999931
8,2106786,0.999929
9,2106771,0.999922
10,2106764,0.999918
11,2106750,0.999912
12,2106741,0.999907
13,2106731,0.999903
14,2106716,0.999896
15,2106710,0.999893
16,2106694,0.999885
17,2106683,0.999880
18,2106676,0.999877
19,2106667,0.999872
20,2106663,0.999870
21,2106650,0.999864
22,2106633,0.999856
23,2106625,0.999852
24,2106618,0.999849
25,2106606,0.999843
26,2106597,0.999839
27,2106588,0.999835
28,2106580,0.999831
29,2106568,0.999825
30,2106565,0.999824
31,2106557,0.999820
32,2106545,0.999814
33,2106536,0.999810
34,2106529,0.999807
35,2106519,0.999802
36,2106514,0.999800
37,2106511,0.999798
38,2106506,0.999796
39,2106502,0.999794
40,2106497,0.999792
41,2106491,0.999789
42,2106481,0.999784
43,2106473,0.999780
44,2106469,0.999778
45,2106457,0.999773
46,2106449,0.999769
47,2106442,0.999766
48,2106435,0.999762
49,2106430,0.999760
50,2106424,0.999757
51,2106420,0.999755
52,2106414,0.999752
53,2106407,0.999749
54,2106402,0.999747
55,2106395,0.999743
56,2106387,0.999739
57,2106373,0.999733
58,2106367,0.999730
59,2106362,0.999728
60,2106353,0.999723
61,2106347,0.999720
62,2106341,0.999718
63,2106331,0.999713
64,2106323,0.999709
65,2106317,0.999706
66,2106313,0.999704
67,2106304,0.999700
68,2106297,0.999697
69,2106290,0.999693
70,2106282,0.999690
71,2106279,0.999688
72,2106272,0.999685
73,2106269,0.999683
74,2106262,0.999680
75,2106258,0.999678
76,2106253,0.999676
77,2106246,0.999673
78,2106237,0.999668
79,2106227,0.999663
80,2106223,0.999662
81,2106216,0.999658
82,2106212,0.999656
83,2106206,0.999654
84,2106200,0.999651
85,2106191,0.999646
86,2106187,0.999645
87,2106177,0.999640
88,2106169,0.999636
89,2106165,0.999634
90,2106154,0.999629
91,2106143,0.999624
92,2106138,0.999621
93,2106131,0.999618
94,2106122,0.999614
95,2106113,0.999609
96,2106106,0.999606
97,2106099,0.999603
98,2106093,0.999600
99,2106090,0.999598
100,2106081,0.999594
101,2106076,0.999592
102,2106070,0.999589
103,2106065,0.999587
104,2106062,0.999585
105,2106052,0.999580
106,2106045,0.999577
107,2106036,0.999573
108,2106028,0.999569
109,2106025,0.999568
110,2106017,0.999564
111,2106015,0.999563
112,2106008,0.999560
113,2106002,0.999557
114,2105995,0.999553
115,2105989,0.999551
116,2105984,0.999548
117,2105974,0.999543
118,2105963,0.999538
119,2105959,0.999536
120,2105952,0.999533
121,2105944,0.999529
122,2105937,0.999526
123,2105931,0.999523
124,2105925,0.999520
125,2105922,0.999519
126,2105915,0.999515
127,2105906,0.999511
128,2105904,0.999510
129,2105891,0.999504
130,2105884,0.999501
131,2105877,0.999497
132,2105871,0.999495
133,2105857,0.999488
134,2105852,0.999486
135,2105845,0.999482
136,2105831,0.999476
137,2105827,0.999474
138,2105823,0.999472
139,2105815,0.999468
140,2105812,0.999467
141,2105805,0.999463
142,2105800,0.999461
143,2105787,0.999455
144,2105782,0.999452
145,2105774,0.999448
146,2105770,0.999447
147,2105764,0.999444
148,2105755,0.999439
149,2105753,0.999439
150,2105749,0.999437
151,2105747,0.999436
152,2105740,0.999432
153,2105737,0.999431
154,2105731,0.999428
155,2105720,0.999423
156,2105715,0.999420
157,2105708,0.999417
158,2105701,0.999414
159,2105700,0.999413
160,2105690,0.999409
161,2105680,0.999404
162,2105672,0.999400
163,2105666,0.999397
164,2105662,0.999395
165,2105655,0.999392
166,2105647,0.999388
167,2105640,0.999385
168,2105629,0.999380
169,2105626,0.999378
170,2105617,0.999374
171,2105609,0.999370
172,2105604,0.999368
173,2105594,0.999363
174,2105591,0.999362
175,2105585,0.999359
176,2105578,0.999355
177,2105575,0.999354
178,2105572,0.999353
179,2105567,0.999350
180,2105558,0.999346
181,2105553,0.999344
182,2105545,0.999340
183,2105538,0.999336
184,2105534,0.999335
185,2105531,0.999333
186,2105526,0.999331
187,2105519,0.999327
188,2105513,0.999325
189,2105507,0.999322
190,2105503,0.999320
191,2105499,0.999318
192,2105495,0.999316
193,2105490,0.999314
